ime,država,spol,disciplina,zlate,srebrne,bronaste,skupaj
ZHANG Yufei,China,F,Swimming,0,1,5,6
MARCHAND Leon,France,M,Swimming,4,0,1,5
HUSKE Torri,United States,F,Swimming,3,2,0,5
O'CALLAGHAN Mollie,Australia,F,Swimming,3,1,1,5
SMITH Regan,United States,F,Swimming,2,3,0,5
McKEOWN Kaylee,Australia,F,Swimming,2,1,2,5
McINTOSH Summer,Canada,F,Swimming,3,1,0,4
BILES Simone,United States,F,Artistic Gymnastics,3,1,0,4
OKA Shinnosuke,Japan,M,Artistic Gymnastics,3,0,1,4
TITMUS Ariarne,Australia,F,Swimming,2,2,0,4
DOUGLASS Kate,United States,F,Swimming,2,2,0,4
WALSH Gretchen,United States,F,Swimming,2,2,0,4
LEDECKY Katie,United States,F,Swimming,2,1,1,4
ANDRADE Rebeca,Brazil,F,Artistic Gymnastics,1,2,1,4
YANG Junxuan,China,F,Swimming,0,1,3,4
KIM Woojin,Korea,M,Archery,3,0,0,3
LIM Sihyeon,Korea,F,Archery,3,0,0,3
LAVREYSEN Harrie,Netherlands,M,Cycling Track,3,0,0,3
CARRINGTON Lisa,New Zealand,F,Canoe Sprint,3,0,0,3
THOMAS Gabrielle,United States,F,Athletics,3,0,0,3
PAN Zhanle,China,M,Swimming,2,1,0,3
SUN Yingsha,China,F,Table Tennis,2,1,0,3
ANDREWS Ellesse,New Zealand,F,Cycling Track,2,1,0,3
DRESSEL Caeleb,United States,M,Swimming,2,1,0,3
HARRIS Meg,Australia,F,Swimming,1,2,0,3
XU Jiayu,China,M,Swimming,1,2,0,3
ZOU Jingyuan,China,M,Artistic Gymnastics,1,2,0,3
FINK Nic,United States,M,Swimming,1,2,0,3
McKEON Emma,Australia,F,Swimming,1,1,1,3
BOL Femke,Netherlands,F,Athletics,1,1,1,3
MURPHY Ryan,United States,M,Swimming,1,1,1,3
FINUCANE Emma,Great Britain,F,Cycling Track,1,0,2,3
HASSAN Sifan,Netherlands,F,Athletics,1,0,2,3
LEE Sunisa,United States,F,Artistic Gymnastics,1,0,2,3
CHALMERS Kyle,Australia,M,Swimming,0,2,1,3
RICHARDSON Matthew,Australia,M,Cycling Track,0,2,1,3
TANG Qianting,China,F,Swimming,0,2,1,3
ZHANG Boheng,China,M,Artistic Gymnastics,0,2,1,3
CSIPES Tamara,Hungary,F,Canoe Sprint,0,2,1,3
FOX Jessica,Australia,F,Canoe Slalom,2,0,0,2
JACK Shayna,Australia,F,Swimming,2,0,0,2
EVENEPOEL Remco,Belgium,M,Cycling Road,2,0,0,2
CHEN Meng,China,F,Table Tennis,2,0,0,2
CHEN Yiwen,China,F,Diving,2,0,0,2
FAN Zhendong,China,M,Table Tennis,2,0,0,2
QUAN Hongchan,China,F,Diving,2,0,0,2
SHENG Lihao,China,M,Shooting,2,0,0,2
WANG Chuqin,China,M,Table Tennis,2,0,0,2
WANG Liuyi,China,F,Artistic Swimming,2,0,0,2
WANG Qianyi,China,F,Artistic Swimming,2,0,0,2
RINER Teddy,France,M,Judo,2,0,0,2
LEMKE Max,Germany,M,Canoe Sprint,2,0,0,2
SCHOPF Jacob,Germany,M,Canoe Sprint,2,0,0,2
von BREDOW-WERNDL Jessica,Germany,F,Equestrian,2,0,0,2
CHEBET Beatrice,Kenya,F,Athletics,2,0,0,2
OH Sanguk,Korea,M,Fencing,2,0,0,2
HOSKIN Alicia,New Zealand,F,Canoe Sprint,2,0,0,2
YULO Carlos Edriel,Philippines,M,Artistic Gymnastics,2,0,0,2
SJOESTROEM Sarah,Sweden,F,Swimming,2,0,0,2
BENJAMIN Rai,United States,M,Athletics,2,0,0,2
FAULKNER Kristen,United States,F,Cycling Road,2,0,0,2
KIEFER Lee,United States,F,Fencing,2,0,0,2
McLAUGHLIN-LEVRONE Sydney,United States,F,Athletics,2,0,0,2
VALENTE Jennifer,United States,F,Cycling Track,2,0,0,2
TEBOGO Letsile,Botswana,M,Athletics,1,1,0,2
CHEN Yuxi,China,F,Diving,1,1,0,2
HUANG Yuting,China,F,Shooting,1,1,0,2
LIU Yang,China,M,Artistic Gymnastics,1,1,0,2
QIN Haiyang,China,M,Swimming,1,1,0,2
WANG Zongyuan,China,M,Diving,1,1,0,2
PINTADO Brian Daniel,Ecuador,M,Athletics,1,1,0,2
PEREZ Maria,Spain,F,Athletics,1,1,0,2
GABA Joan-Benjamin,France,M,Judo,1,1,0,2
MKHEIDZE Luka,France,M,Judo,1,1,0,2
RICHARDS Matthew,Great Britain,M,Swimming,1,1,0,2
SCOTT Duncan,Great Britain,M,Swimming,1,1,0,2
WERTH Isabell,Germany,F,Equestrian,1,1,0,2
MILAK Kristof,Hungary,M,Swimming,1,1,0,2
D'AMATO Alice,Italy,F,Artistic Gymnastics,1,1,0,2
ABE Hifumi,Japan,M,Judo,1,1,0,2
KANO Koki,Japan,M,Fencing,1,1,0,2
NAGASE Takanori,Japan,M,Judo,1,1,0,2
TSUNODA Natsumi,Japan,F,Judo,1,1,0,2
KIPYEGON Faith,Kenya,F,Athletics,1,1,0,2
NAM Suhyeon,Korea,F,Archery,1,1,0,2
ALFRED Julien,Saint Lucia,F,Athletics,1,1,0,2
KLAVER Lieke,Netherlands,F,Athletics,1,1,0,2
PEETERS Cathelijn,Netherlands,F,Athletics,1,1,0,2
LEITAO Iuri,Portugal,M,Cycling Track,1,1,0,2
ANGHEL Roxana,Romania,F,Rowing,1,1,0,2
BODNAR Ancuta,Romania,F,Rowing,1,1,0,2
RADIS Simona,Romania,F,Rowing,1,1,0,2
VRINCEANU Ioana,Romania,F,Rowing,1,1,0,2
SMITH Tatjana,South Africa,F,Swimming,1,1,0,2
ALEXY Jack,United States,M,Swimming,1,1,0,2
ARMSTRONG Hunter,United States,M,Swimming,1,1,0,2
BROWN Kaylyn,United States,F,Athletics,1,1,0,2
DEADMON Bryce,United States,M,Athletics,1,1,0,2
FINKE Bobby,United States,M,Swimming,1,1,0,2
GUILIANO Chris,United States,M,Swimming,1,1,0,2
HANCOCK Vincent,United States,M,Shooting,1,1,0,2
LITTLE Shamier,United States,F,Athletics,1,1,0,2
NORWOOD Vernon,United States,M,Athletics,1,1,0,2
RICHARDSON Sha'carri,United States,F,Athletics,1,1,0,2
SCRUGGS Lauren,United States,F,Fencing,1,1,0,2
SHACKELL Alex,United States,F,Swimming,1,1,0,2
SWANSON Charlie,United States,M,Swimming,1,1,0,2
WEITZEIL Abbey,United States,F,Swimming,1,1,0,2
SOUZA Beatriz,Brazil,F,Judo,1,0,1,2
VINCENT Katie,Canada,F,Canoe Sprint,1,0,1,2
CHANG Yani,China,F,Diving,1,0,1,2
MARTIN Alvaro,Spain,M,Athletics,1,0,1,2
AGBEGNENOU Clarisse,France,F,Judo,1,0,1,2
BOUKLI Shirine,France,F,Judo,1,0,1,2
BUCHARD Amandine,France,F,Judo,1,0,1,2
CYSIQUE Sarah Leonie,France,F,Judo,1,0,1,2
DICKO Romane,France,F,Judo,1,0,1,2
NGAYAP HAMBOU Maxime-Gael,France,M,Judo,1,0,1,2
COLLETT Laura,Great Britain,F,Equestrian,1,0,1,2
YEE Alex,Great Britain,M,Triathlon,1,0,1,2
WIFFEN Daniel,Ireland,M,Swimming,1,0,1,2
CECCON Thomas,Italy,M,Swimming,1,0,1,2
LEE Wooseok,Korea,M,Archery,1,0,1,2
POPOVICI David,Romania,M,Swimming,1,0,1,2
KHARLAN Olga,Ukraine,F,Fencing,1,0,1,2
BERKOFF Katharine,United States,F,Swimming,1,0,1,2
CAREY Jade,United States,F,Artistic Gymnastics,1,0,1,2
DYGERT Chloe,United States,F,Cycling Track,1,0,1,2
JEFFERSON Melissa,United States,F,Athletics,1,0,1,2
LYLES Noah,United States,M,Athletics,1,0,1,2
MALLO-BRETON Auriane,France,F,Fencing,0,2,0,2
MACCHI Filippo,Italy,M,Fencing,0,2,0,2
MURAO Sanshiro,Japan,M,Judo,0,2,0,2
MOREGARD Truls,Sweden,M,Table Tennis,0,2,0,2
MANUEL Simone,United States,F,Swimming,0,2,0,2
ANDERSON Iona,Australia,F,Swimming,0,1,1,2
SOUTHAM Flynn,Australia,M,Swimming,0,1,1,2
STUBBLETY-COOK Zac,Australia,M,Swimming,0,1,1,2
TAYLOR Kai,Australia,M,Swimming,0,1,1,2
WINNINGTON Elijah,Australia,M,Swimming,0,1,1,2
LIMA Willian,Brazil,M,Judo,0,1,1,2
XIAO Ruoteng,China,M,Artistic Gymnastics,0,1,1,2
BARKER Elinor,Great Britain,F,Cycling Track,0,1,1,2
CARLIN Jack,Great Britain,M,Cycling Track,0,1,1,2
HUDSON-SMITH Matthew,Great Britain,M,Athletics,0,1,1,2
WILLIAMS Noah,Great Britain,M,Diving,0,1,1,2
FRIEDRICH Lea,Germany,F,Cycling Track,0,1,1,2
HAKE Jule Marie,Germany,F,Canoe Sprint,0,1,1,2
PASZEK Paulina,Germany,F,Canoe Sprint,0,1,1,2
GAZSO Alida Dora,Hungary,F,Canoe Sprint,0,1,1,2
CONSONNI Simone,Italy,M,Cycling Track,0,1,1,2
ESPOSITO Manila,Italy,F,Artistic Gymnastics,0,1,1,2
GANNA Filippo,Italy,M,Cycling Track,0,1,1,2
PALTRINIERI Gregorio,Italy,M,Swimming,0,1,1,2
FUNAKUBO Haruka,Japan,F,Judo,0,1,1,2
HASHIMOTO Soichi,Japan,M,Judo,0,1,1,2
HAYATA Hina,Japan,F,Table Tennis,0,1,1,2
NAGAYAMA Ryuju,Japan,M,Judo,0,1,1,2
HUH Mimi,Korea,F,Judo,0,1,1,2
KIM Minjong,Korea,M,Judo,0,1,1,2
OLVERA IBARRA Osmar,Mexico,M,Diving,0,1,1,2
WOLLASTON Ally,New Zealand,F,Cycling Track,0,1,1,2
KIM Mi Rae,DPR Korea,F,Diving,0,1,1,2
ELLISON Brady,United States,M,Archery,0,1,1,2
FOSTER Carson,United States,M,Swimming,0,1,1,2
HOBSON Luke,United States,M,Swimming,0,1,1,2
MADDEN Paige,United States,F,Swimming,0,1,1,2
SMITH Austen Jewell,United States,F,Shooting,0,1,1,2
GLAETZER Matthew,Australia,M,Cycling Track,0,0,2,2
MONTAG Jemima,Australia,F,Athletics,0,0,2,2
PIMENTA Larissa,Brazil,F,Judo,0,0,2,2
KHARUN Ilya,Canada,M,Swimming,0,0,2,2
WU Qingfeng,China,F,Swimming,0,0,2,2
YU Yiting,China,F,Swimming,0,0,2,2
LEBRUN Felix,France,M,Table Tennis,0,0,2,2
MANAUDOU Florent,France,M,Swimming,0,0,2,2
ANNING Amber,Great Britain,F,Athletics,0,0,2,2
FRY Charlotte,Great Britain,F,Equestrian,0,0,2,2
HAYDOCK-WILSON Alex,Great Britain,M,Athletics,0,0,2,2
NIELSEN Laviai,Great Britain,F,Athletics,0,0,2,2
POTTER Beth,Great Britain,F,Triathlon,0,0,2,2
REARDON Samuel,Great Britain,M,Athletics,0,0,2,2
WOODS Kimberley,Great Britain,F,Canoe Slalom,0,0,2,2
YEARGIN Nicole,Great Britain,F,Athletics,0,0,2,2
HAUGHEY Siobhan Bernadette,"Hong Kong, China",F,Swimming,0,0,2,2
FOJT Sara,Hungary,F,Canoe Sprint,0,0,2,2
PUPP Noemi,Hungary,F,Canoe Sprint,0,0,2,2
BHAKER Manu,India,F,Shooting,0,0,2,2
KIM Hayun,Korea,F,Judo,0,0,2,2
LEE Joonhwan,Korea,M,Judo,0,0,2,2
SHIN Yubin,Korea,F,Table Tennis,0,0,2,2
FISHER Grant,United States,M,Athletics,0,0,2,2
MOORE Jasmine,United States,F,Athletics,0,0,2,2
NEDOROSCIK Stephen,United States,M,Artistic Gymnastics,0,0,2,2
LITVINOVICH Ivan,AIN,M,Trampoline Gymnastics,1,0,0,1
KHELIF Imane,Algeria,F,Boxing,1,0,0,1
NEMOUR Kaylia,Algeria,F,Artistic Gymnastics,1,0,0,1
TORRES GIL Jose,Argentina,M,Cycling BMX Freestyle,1,0,0,1
BLEDDYN Oliver,Australia,M,Cycling Track,1,0,0,1
BROWN Grace,Australia,F,Cycling Road,1,0,0,1
CAMPBELL Bronte,Australia,F,Swimming,1,0,0,1
EBDEN Matthew,Australia,M,Tennis,1,0,0,1
FOX Noemie,Australia,F,Canoe Slalom,1,0,0,1
KENNEDY Nina,Australia,F,Athletics,1,0,0,1
LEAHY Conor,Australia,M,Cycling Track,1,0,0,1
McEVOY Cameron,Australia,M,Swimming,1,0,0,1
O'BRIEN Kelland,Australia,M,Cycling Track,1,0,0,1
PALLISTER Lani,Australia,F,Swimming,1,0,0,1
PALMER Keegan,Australia,M,Skateboarding,1,0,0,1
PEERS John,Australia,M,Tennis,1,0,0,1
PERKINS Jamie,Australia,F,Swimming,1,0,0,1
SAKAKIBARA Saya,Australia,F,Cycling BMX Racing,1,0,0,1
THROSSELL Brianna,Australia,F,Swimming,1,0,0,1
TREW Arisa,Australia,F,Skateboarding,1,0,0,1
WEARN Matt,Australia,M,Sailing,1,0,0,1
WELSFORD Sam,Australia,M,Cycling Track,1,0,0,1
WUNSCH Olivia,Australia,F,Swimming,1,0,0,1
BONTUS Valentin,Austria,M,Sailing,1,0,0,1
MAEHR Lukas,Austria,M,Sailing,1,0,0,1
VADLAU Lara,Austria,F,Sailing,1,0,0,1
HEYDAROV Hidayat,Azerbaijan,M,Judo,1,0,0,1
KOTSOIEV Zelym,Azerbaijan,M,Judo,1,0,0,1
THIAM Nafissatou,Belgium,F,Athletics,1,0,0,1
SANTOS LISBOA Eduarda,Brazil,F,Beach Volleyball,1,0,0,1
SILVA RAMOS Ana Patricia,Brazil,F,Beach Volleyball,1,0,0,1
TAZHUDINOV Akhmed,Bahrain,M,Wrestling,1,0,0,1
YAVI Winfred,Bahrain,F,Athletics,1,0,0,1
NASAR Karlos May,Bulgaria,M,Weightlifting,1,0,0,1
NOVIKOV Semen Sergeevich,Bulgaria,M,Wrestling,1,0,0,1
RAMAZANOV Magomed Eldarovitch,Bulgaria,M,Wrestling,1,0,0,1
BLAKE Jerome,Canada,M,Athletics,1,0,0,1
BROWN Aaron,Canada,M,Athletics,1,0,0,1
De GRASSE Andre,Canada,M,Athletics,1,0,0,1
DEGUCHI Christa,Canada,F,Judo,1,0,0,1
KATZBERG Ethan,Canada,M,Athletics,1,0,0,1
PHIL WIZARD,Canada,M,Breaking,1,0,0,1
RODNEY Brendon,Canada,M,Athletics,1,0,0,1
ROGERS Camryn,Canada,F,Athletics,1,0,0,1
CROVETTO CHADID Francisca,Chile,F,Shooting,1,0,0,1
CAO Yuan,China,M,Diving,1,0,0,1
CHANG Hao,China,F,Artistic Swimming,1,0,0,1
CHANG Yuan,China,F,Boxing,1,0,0,1
CHEN Qing Chen,China,F,Badminton,1,0,0,1
CHENG Wentao,China,F,Artistic Swimming,1,0,0,1
DENG Yawen,China,F,Cycling BMX Freestyle,1,0,0,1
DING Xinyi,China,F,Rhythmic Gymnastics,1,0,0,1
FENG Yu,China,F,Artistic Swimming,1,0,0,1
GUO Qiqi,China,F,Rhythmic Gymnastics,1,0,0,1
HAO Ting,China,F,Rhythmic Gymnastics,1,0,0,1
HOU Zhihui,China,F,Weightlifting,1,0,0,1
HUANG Ya Qiong,China,F,Badminton,1,0,0,1
HUANG Zhangjiayang,China,F,Rhythmic Gymnastics,1,0,0,1
JI Bowen,China,M,Canoe Sprint,1,0,0,1
JIA Yi Fan,China,F,Badminton,1,0,0,1
LI Fabin,China,M,Weightlifting,1,0,0,1
LI Qian,China,F,Boxing,1,0,0,1
LI Wenwen,China,F,Weightlifting,1,0,0,1
LI Yuehong,China,M,Shooting,1,0,0,1
LIAN Junjie,China,M,Diving,1,0,0,1
LIU Hao,China,M,Canoe Sprint,1,0,0,1
LIU Huanhua,China,M,Weightlifting,1,0,0,1
LIU Yukun,China,M,Shooting,1,0,0,1
LONG Daoyi,China,M,Diving,1,0,0,1
LUO Shifang,China,F,Weightlifting,1,0,0,1
MA Long,China,M,Table Tennis,1,0,0,1
SUN Jiajun,China,M,Swimming,1,0,0,1
SUN Mengya,China,F,Canoe Sprint,1,0,0,1
WANG Changhao,China,M,Swimming,1,0,0,1
WANG Ciyue,China,F,Artistic Swimming,1,0,0,1
WANG Lanjing,China,F,Rhythmic Gymnastics,1,0,0,1
WANG Manyu,China,F,Table Tennis,1,0,0,1
WU Yu,China,F,Boxing,1,0,0,1
XIANG Binxuan,China,F,Artistic Swimming,1,0,0,1
XIAO Yanning,China,F,Artistic Swimming,1,0,0,1
XIE Siyi,China,M,Diving,1,0,0,1
XIE Yu,China,M,Shooting,1,0,0,1
XU Shixiao,China,F,Canoe Sprint,1,0,0,1
YANG Hao,China,M,Diving,1,0,0,1
YANG Jiayu,China,F,Athletics,1,0,0,1
ZHANG Yayi,China,F,Artistic Swimming,1,0,0,1
ZHENG Qinwen,China,F,Tennis,1,0,0,1
ZHENG Si Wei,China,M,Badminton,1,0,0,1
MATIC Barbara,Croatia,F,Judo,1,0,0,1
SINKOVIC Martin,Croatia,M,Rowing,1,0,0,1
SINKOVIC Valent,Croatia,M,Rowing,1,0,0,1
ALVAREZ BORGES Erislandy,Cuba,M,Boxing,1,0,0,1
LOPEZ NUNEZ Mijain,Cuba,M,Wrestling,1,0,0,1
DOSTAL Josef,Czechia,M,Canoe Sprint,1,0,0,1
FUKSA Martin,Czechia,M,Canoe Sprint,1,0,0,1
MACHAC Tomas,Czechia,M,Tennis,1,0,0,1
SINIAKOVA Katerina,Czechia,F,Tennis,1,0,0,1
ANDERSSON Lasse,Denmark,M,Handball,1,0,0,1
ARNOLDSEN Thomas,Denmark,M,Handball,1,0,0,1
AXELSEN Viktor,Denmark,M,Badminton,1,0,0,1
GIDSEL Mathias,Denmark,M,Handball,1,0,0,1
HALD Simon,Denmark,M,Handball,1,0,0,1
HANSEN Mikkel,Denmark,M,Handball,1,0,0,1
JACOBSEN Magnus Landin,Denmark,M,Handball,1,0,0,1
JACOBSEN Niklas Landin,Denmark,M,Handball,1,0,0,1
JAKOBSEN Emil,Denmark,M,Handball,1,0,0,1
JOERGENSEN Lukas,Denmark,M,Handball,1,0,0,1
KIRKELOEKKE Niclas,Denmark,M,Handball,1,0,0,1
LAUGE Rasmus,Denmark,M,Handball,1,0,0,1
LINDBERG Hans,Denmark,M,Handball,1,0,0,1
MOELLGAARD Henrik,Denmark,M,Handball,1,0,0,1
NIELSEN Emil,Denmark,M,Handball,1,0,0,1
PYTLICK Simon,Denmark,M,Handball,1,0,0,1
SAUGSTRUP Magnus,Denmark,M,Handball,1,0,0,1
LAFOND Thea,Dominica,F,Athletics,1,0,0,1
PAULINO Marileidy,Dominican Republic,F,Athletics,1,0,0,1
ELGENDY Ahmed,Egypt,M,Modern Pentathlon,1,0,0,1
BAENA Alex,Spain,M,Football,1,0,0,1
BARRIOS Pablo,Spain,M,Football,1,0,0,1
BERNABE Adrian,Spain,M,Football,1,0,0,1
BOTIN le CHEVER Diego,Spain,M,Sailing,1,0,0,1
CAMELLO Sergio,Spain,M,Football,1,0,0,1
CAMUS Paula,Spain,F,Water Polo,1,0,0,1
CRESPI BARRIGA Paula,Spain,F,Water Polo,1,0,0,1
CUBARSI Pau,Spain,M,Football,1,0,0,1
DIAZ FORTUN Jordan Alejandro,Spain,M,Athletics,1,0,0,1
ESPAR LLAQUET Anni,Spain,F,Water Polo,1,0,0,1
ESTER RAMOS Laura,Spain,F,Water Polo,1,0,0,1
FORCA ARIZA Judith,Spain,F,Water Polo,1,0,0,1
GARCIA Eric,Spain,M,Football,1,0,0,1
GARCIA GODOY Maica,Spain,F,Water Polo,1,0,0,1
GARCIA Joan,Spain,M,Football,1,0,0,1
GOMEZ Sergio,Spain,M,Football,1,0,0,1
GUTIERREZ Miguel,Spain,M,Football,1,0,0,1
ITURBE Alejandro,Spain,M,Football,1,0,0,1
LEITON ARRONES Paula,Spain,F,Water Polo,1,0,0,1
LOPEZ Diego,Spain,M,Football,1,0,0,1
LOPEZ Fermin,Spain,M,Football,1,0,0,1
MIRANDA Juan,Spain,M,Football,1,0,0,1
MOSQUERA Cristhian,Spain,M,Football,1,0,0,1
OMORODION Samu,Spain,M,Football,1,0,0,1
OROZ Aimar,Spain,M,Football,1,0,0,1
ORTIZ Bea,Spain,F,Water Polo,1,0,0,1
PACHECO Jon,Spain,M,Football,1,0,0,1
PENA Pili,Spain,F,Water Polo,1,0,0,1
PEREZ VIVAS Nona,Spain,F,Water Polo,1,0,0,1
PIRALKOVA COELLO Isabel,Spain,F,Water Polo,1,0,0,1
PUBILL Marc,Spain,M,Football,1,0,0,1
RUIZ Abel,Spain,M,Football,1,0,0,1
RUIZ BARRIL Elena,Spain,F,Water Polo,1,0,0,1
SANCHEZ Juanlu,Spain,M,Football,1,0,0,1
TENAS Arnau,Spain,M,Football,1,0,0,1
TERRE Martina,Spain,F,Water Polo,1,0,0,1
TRITTEL PAUL Florian,Spain,M,Sailing,1,0,0,1
TURRIENTES Benat,Spain,M,Football,1,0,0,1
TOLA Tamirat,Ethiopia,M,Athletics,1,0,0,1
APITHY-BRUNET Manon,France,F,Fencing,1,0,0,1
BARRAQUE Jean Pascal,France,M,Rugby Sevens,1,0,0,1
BEAUGRAND Cassandre,France,F,Triathlon,1,0,0,1
BRIZARD Antoine,France,M,Volleyball,1,0,0,1
CHINENYEZE Barthelemy,France,M,Volleyball,1,0,0,1
CLEVENOT Trevor,France,M,Volleyball,1,0,0,1
DAUDET Joris,France,M,Cycling BMX Racing,1,0,0,1
DIESSE Aurelien,France,M,Judo,1,0,0,1
DJALO Alpha Oumar,France,M,Judo,1,0,0,1
DUPONT Antoine,France,M,Rugby Sevens,1,0,0,1
EPEE Nelson,France,M,Rugby Sevens,1,0,0,1
FAURE Theo,France,M,Volleyball,1,0,0,1
FERRAND PREVOT Pauline,France,F,Cycling Mountain Bike,1,0,0,1
FORNER Theo,France,M,Rugby Sevens,1,0,0,1
GAHIE Marie Eve,France,F,Judo,1,0,0,1
GESTIN Nicolas,France,M,Canoe Slalom,1,0,0,1
GRANDIDIER NKANANG Aaron,France,M,Rugby Sevens,1,0,0,1
GREBENNIKOV Jenia,France,M,Volleyball,1,0,0,1
JOSEPH Jefferson-Lee,France,M,Rugby Sevens,1,0,0,1
JOUFFROY Quentin,France,M,Volleyball,1,0,0,1
KHYAR Walide,France,M,Judo,1,0,0,1
LAURIN Althea,France,F,Taekwondo,1,0,0,1
le GOFF Nicolas,France,M,Volleyball,1,0,0,1
LOUATI Yacine,France,M,Volleyball,1,0,0,1
MALONGA Madeleine,France,F,Judo,1,0,0,1
NGAPETH Earvin,France,M,Volleyball,1,0,0,1
PAREZ EDO MARTIN Stephen,France,M,Rugby Sevens,1,0,0,1
PASQUET Varian,France,M,Rugby Sevens,1,0,0,1
PATRY Jean,France,M,Volleyball,1,0,0,1
REBBADJ Rayan,France,M,Rugby Sevens,1,0,0,1
RIVA Paulin,France,M,Rugby Sevens,1,0,0,1
SEPHO Jordan,France,M,Rugby Sevens,1,0,0,1
THOMAS Benjamin,France,M,Cycling Track,1,0,0,1
TILLIE Kevin,France,M,Volleyball,1,0,0,1
TIMO Andy,France,M,Rugby Sevens,1,0,0,1
TONIUTTI Benjamin,France,M,Volleyball,1,0,0,1
VAAST Kauli,France,M,Surfing,1,0,0,1
ZEGHDAR Antoine,France,M,Rugby Sevens,1,0,0,1
ALDRIDGE Eleanor,Great Britain,F,Sailing,1,0,0,1
ANDERSON Lola,Great Britain,F,Rowing,1,0,0,1
BIRD Kieran,Great Britain,M,Swimming,1,0,0,1
BOLDING Morgan,Great Britain,M,Rowing,1,0,0,1
BRASH Scott,Great Britain,M,Equestrian,1,0,0,1
BRAYSHAW Georgina,Great Britain,F,Rowing,1,0,0,1
BRIGHTMORE Harry,Great Britain,M,Rowing,1,0,0,1
CANTER Rosalind,Great Britain,F,Equestrian,1,0,0,1
CAPEWELL Sophie,Great Britain,F,Cycling Track,1,0,0,1
CARNEGIE Sholto,Great Britain,M,Rowing,1,0,0,1
CHARLES Harry,Great Britain,M,Equestrian,1,0,0,1
CRAIG Emily,Great Britain,F,Rowing,1,0,0,1
DAWSON Jacob,Great Britain,M,Rowing,1,0,0,1
DEAN Tom,Great Britain,M,Swimming,1,0,0,1
DIGBY Tom,Great Britain,M,Rowing,1,0,0,1
ELWES Charles,Great Britain,M,Rowing,1,0,0,1
FORD Tom,Great Britain,M,Rowing,1,0,0,1
GIBBS Rory,Great Britain,M,Rowing,1,0,0,1
GRANT Imogen,Great Britain,F,Rowing,1,0,0,1
GUY James,Great Britain,M,Swimming,1,0,0,1
HALES Nathan,Great Britain,M,Shooting,1,0,0,1
HENRY Lauren,Great Britain,F,Rowing,1,0,0,1
HODGKINSON Keely,Great Britain,F,Athletics,1,0,0,1
MAHER Ben,Great Britain,M,Equestrian,1,0,0,1
MARCHANT Katy,Great Britain,F,Cycling Track,1,0,0,1
McEWEN Tom,Great Britain,M,Equestrian,1,0,0,1
McMILLAN Jack,Great Britain,M,Swimming,1,0,0,1
PAGE Bryony,Great Britain,F,Trampoline Gymnastics,1,0,0,1
PIDCOCK Thomas,Great Britain,M,Cycling Mountain Bike,1,0,0,1
ROBERTS Toby,Great Britain,M,Sport Climbing,1,0,0,1
RUDKIN James,Great Britain,M,Rowing,1,0,0,1
SCOTT Hannah,Great Britain,F,Rowing,1,0,0,1
BEKAURI Lasha,Georgia,M,Judo,1,0,0,1
PETRIASHVILI Geno,Georgia,M,Wrestling,1,0,0,1
TALAKHADZE Lasha,Georgia,M,Weightlifting,1,0,0,1
BRUNCKHORST Svenja,Germany,F,3x3 Basketball,1,0,0,1
GREINACHER Sonja,Germany,F,3x3 Basketball,1,0,0,1
HELLWIG Tim,Germany,M,Triathlon,1,0,0,1
JUNG Michael,Germany,M,Equestrian,1,0,0,1
KUKUK Christian,Germany,M,Equestrian,1,0,0,1
LIEBSCHER-LUCZ Tom,Germany,M,Canoe Sprint,1,0,0,1
LINDEMANN Laura,Germany,F,Triathlon,1,0,0,1
LUEHRS Lasse,Germany,M,Triathlon,1,0,0,1
MAERTENS Lukas,Germany,M,Swimming,1,0,0,1
MEVIUS Elisa,Germany,F,3x3 Basketball,1,0,0,1
OGUNLEYE Yemisi,Germany,F,Athletics,1,0,0,1
REICHERT Marie,Germany,F,3x3 Basketball,1,0,0,1
RENDSCHMIDT Max,Germany,M,Canoe Sprint,1,0,0,1
TERTSCH Lisa,Germany,F,Triathlon,1,0,0,1
VARFOLOMEEV Darja,Germany,F,Rhythmic Gymnastics,1,0,0,1
WANDRES Frederic,Germany,M,Equestrian,1,0,0,1
ZEIDLER Oliver,Germany,M,Rowing,1,0,0,1
TENTOGLOU Miltiadis,Greece,M,Athletics,1,0,0,1
RUANO OLIVA Adriana,Guatemala,F,Shooting,1,0,0,1
CHEUNG Ka Long,"Hong Kong, China",M,Fencing,1,0,0,1
KONG Man Wai Vivian,"Hong Kong, China",F,Fencing,1,0,0,1
ANDRASFI Tibor,Hungary,M,Fencing,1,0,0,1
GULYAS Michelle,Hungary,F,Modern Pentathlon,1,0,0,1
KOCH Mate Tamas,Hungary,M,Fencing,1,0,0,1
KOS Hubert,Hungary,M,Swimming,1,0,0,1
MARTON Viviana,Hungary,F,Taekwondo,1,0,0,1
NAGY David,Hungary,M,Fencing,1,0,0,1
RASOVSZKY Kristof,Hungary,M,Marathon Swimming,1,0,0,1
SIKLOSI Gergely,Hungary,M,Fencing,1,0,0,1
JUNIANSYAH Rizki,Indonesia,M,Weightlifting,1,0,0,1
LEONARDO Veddriq,Indonesia,M,Sport Climbing,1,0,0,1
ESMAEILI LEIVESI Saeid,IR Iran,M,Wrestling,1,0,0,1
SALIMI Arian,IR Iran,M,Taekwondo,1,0,0,1
SARAVI Mohammadhadi,IR Iran,M,Wrestling,1,0,0,1
